| velikost         |  cut-off  |   t [ms]  | best |
|------------------|-----------|-----------|------|
| bunn_zipper_res4 | 2         | 19.75     | 2    |
|                  | 8         | 33.25     |      |
|                  | 16        | 45.5      |      |
|                  | 32        | 191       |      |
| bunn_zipper_res3 | 2         | 69        |      |
|                  | 8         | 55.5      |      |
|                  | 16        | 52.75     | 16   |
|                  | 32        | 67        |      |
| bunn_zipper_res2 | 2         | 274.25    |      |
|                  | 8         | 229.5     | 8    |
|                  | 16        | 248.75    |      |
|                  | 32        | 333.75    |      |
| bunn_zipper_res1 | 2         | 290.25    |      |
|                  | 8         | 228.25    | 8    |
|                  | 16        | 312.75    |      |
|                  | 32        | 353       |      |
